sample_id,expected_tag,question,expected_answer,available_questions_for_tag,sample_index_within_tag,questions_sampled_for_tag
120,font_problem_in_new_voter_registration_form,নতুন ভোটার নিবন্ধন ফর্ম প্রিন্ট করলে লেটার গুলিয়ে যায় কী করব?,আগের আবেদন বাতিল করে পুনরায় আবেদন করুন।,174,1,1
121,font_problem_in_new_voter_registration_form_followup_a,ভোটার তালিকায় অন্তর্ভুক্তির আবেদন অনলাইনে করেছি; প্রিন্টআউটে হরফ ভেঙে পড়ছে। প্রাথমিকভাবে কী পরীক্ষা করব?,"প্রথমত, থানা/ উপজেলা নির্বাচন কর্মকতার সাথে আপনার সমস্যাটি নিয়ে কথা বলুন। বায়োমেট্রিক প্রদানের সময় নির্বাচন কমিশনের বায়োমেট্রিক গ্রহণ সফটওয়্যার থেকে সমস্যাটি সমাধান হয়ে থাকে। সেক্ষেত্রেও সমাধান না হলে থানা/ উপজেলা নির্বাচন কর্মকর্তা কর্তৃক আবেদনটি বাতিল পূর্বক সঠিক ফন্ট ব্যবহার করে পূর্বের PC ব্যতীত অন্য PC ব্যবহার করে পূনরায় আবেদন করুন।",17,1,1
122,font_problem_in_new_voter_registration_form_followup_b,ভোটার হতে নিবন্ধনের পর পরবর্তী কাজ কী?,"ভোটার নিবন্ধন ফরম এ সনাক্তকারী ও যাচাইকারীর এনআইডি, স্বাক্ষর ও সিলসহ ভোটার নিবন্ধনের জন্য প্রয়োজনীয় কাগজপত্রসহ বায়োমেট্রিক প্রদানের এসএমএস প্রাপ্তির জন্য অপেক্ষা করুন। বায়োমেট্রিক প্রদানের এসএমএস পেলে সংশ্লিষ্ট থানা/উপজেলা নির্বাচন অফিসে উপস্থিত হয়ে বায়োমেট্রিক প্রদান করুন।",20,1,1
123,foreign_address_entry_tips,ডাক ভোট ফর্মে প্রবাসের ঠিকানা দেওয়ার সময় কী কী বিষয় মানতে হবে?,এই ঠিকানায় আপনার ব্যালট পেপার পাঠানো হবে। ঠিকানা সম্পূর্ণ এবং সঠিকভাবে লিখুন। খুজেঁ পাওয়া যাবে এরূপ পোস্ট অফিস এবং ঠিকানা দিন। সব ঠিকানার ঘর পূরণ করুন।,100,1,1
124,foreign_resident_action_after_biometrics_new,"এম্বাসিতে বায়োমেট্রি দিয়ে এসেছি, এরপর কি কোনো অ্যাপয়েন্টমেন্ট দরকার?","দুঃখিত, আপনার প্রশ্নের উত্তরটি আমার জানা নেই। আপনার এই প্রশ্নের উত্তর জানতে ১০৫-এ কল করে সরাসরি আমাদের প্রতিনিধির সাথে কথা বলুন, ধন্যবাদ।",181,1,1
125,foreign_resident_card_collection_followup_b,স্মার্ট কার্ডের আবেদনে প্রয়োজনীয় ডকুমেন্টের একটি জমা দিতে না পারলে তার জায়গায় কী দিতে পারি?,এ সম্পর্কে বিস্তারিত জানতে নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন।,20,1,1
126,foreign_resident_card_collection_followup_d,স্মার্ট কার্ড অনলাইন ফর্মে ভুল ইনপুট দেওয়া হলে সেটি কীভাবে ঠিক করবো?,অনলাইনে ফরম পূরণে ভুল হলে যদি ফরমটি সাবমিট করে থাকেন তাহলে সেটি সংশোধনের কোন উপায় নেই,20,1,1
127,foreign_resident_card_picture_done_not_inquery_from_upzilla_new,"প্রবাসে এনরোলমেন্ট করেছি, কিন্তু এম্বাসি জানাচ্ছে স্থানীয় যাচাই হয়নি। কী করতে হবে?","আপনি নিজে অথবা আপনার প্রতিনিধি অথবা আপনার আত্মীয়ের মাধ্যমে সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করতে হবে। যদি উপজেলা/থানা নির্বাচন অফিসার ইতোমধ্যে এ বিষয়ে সরেজমিন তদন্ত করে থাকেন, তাহলে তিনি প্রতিবেদন দাখিল করবেন।",177,1,1
128,foreign_resident_card_picture_done_not_inquery_from_upzilla_new_followup_b,বিদেশে থাকা নাগরিকের এনআইডি/ভোটার নিবন্ধনের জন্য অফিসে কী কী কাগজ সঙ্গে নিতে হবে?,আপনার প্রতিনিধি অথবা আপনার আত্মীয়ের মাধ্যমে সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগের সময় নতুন ভোটারের ফরম নাম্বারটি সঙ্গে আনতে বলবেন,20,1,1
129,foreign_resident_card_registration_process,বিদেশে থাকলে এনআইডি করার প্রক্রিয়া কোথা থেকে শুরু করবো?,"যে সকল দেশে প্রবাসী বাংলাদেশীদের এনআইডি বা ভোটার নিবন্ধন কার্যক্রম চলমান রয়েছে, সেসকল দেশের ক্ষেত্রে ওয়েব পোর্টাল services.nidw.gov.bd/ ভিজিট করে রেজিস্টেশন পূর্বক নিবন্ধন ফর্ম পূরন করুন। অতঃপর উক্ত ফর্মের প্রিন্ট কপি, অনলাইন জন্ম সনদ, পাসপোর্ট এবং পাসপোর্ট সাইজের ছবি নিয়ে এপয়েনমেন্টের তারিখ অনুযায়ী বাংলাদেশ দূতাবাস/এম্বাসী অফিসে এসে বায়োমেট্রিক প্রদান করুন।",196,1,1
130,foreign_resident_card_registration_process_followup_d,প্রবাসী এনআইডি ও ভোটার তালিকাভুক্তির আবেদনে কোনো প্রয়োজনীয় কাগজ না থাকলে বিকল্প কী প্রযোজ্য?,কোন কাগজ না থাকলে রেজিস্ট্রেশন অফিসারের পরামর্শ অনুযায়ী পদক্ষেপ নিতে হবে।,20,1,1
131,foreign_resident_card_registration_query_country_limitation,আমি ইউএইতে; এনআইডি প্রসেস হবে?,"বর্তমানে সংযুক্ত আরব আমিরাত, সৌদি আরব, কাতার, মালয়েশিয়া, কুয়েত, যুক্তরাজ্য, ইতালি, অস্ট্রেলিয়া ও কানাডায় প্রবাসী বাংলাদেশীদের ভোটার নিবন্ধন ও এনআইডি বিতরণ কার্যক্রম চালু রয়েছে।",192,1,1
132,foreign_resident_card_registration_query_country_limitation_3_followup_a,নতুন ভোটার রেজিস্ট্রেশন সম্পন্ন হওয়ার পর পরবর্তী করণীয় কী?,নিবন্ধন পরবর্তী ধাপে বাংলাদেশ দূতাবাস/এম্বাসী অফিসে যোগাযোগ করতে হবে।,19,1,1
133,foreign_resident_card_registration_query_country_limitation_3_followup_d,নতুন ভোটার নিবন্ধনের জন্য টাকা লাগে কি? লাগলে পরিমাণ কত ও পেমেন্টের নিয়ম কী?,নতুুন ভোটার নিবন্ধনের কোন সরকারি ফি লাগেনা।,19,1,1
134,foreign_resident_card_registration_query_country_limitation_4_followup_a,আমি নতুন ভোটার হিসেবে নিবন্ধন করেছি; এখন পরের ধাপ কী?,নিবন্ধন পরবর্তী ধাপে বাংলাদেশ দূতাবাস/এম্বাসী অফিসে যোগাযোগ করতে হবে।,19,1,1
135,foreign_resident_card_registration_query_country_limitation_4_followup_b,"নতুন করে ভোটার তালিকায় নাম তুলতে কি অনলাইনে আবেদন দেওয়া যায়, নাকি অফিসে গিয়ে করতে হয়?",অনলাাইনে ফরম পূরণ করে এম্বাসী অফিসে যোগাযোগ করতে হবে।,20,1,1
136,foreign_resident_card_registration_query_country_limitation_4_followup_d,প্রথমবার ভোটার এনরোলমেন্টে ফি লাগে কি? লাগলে কত টাকা এবং প্রদানের উপায় কী?,নতুুন ভোটার নিবন্ধনের কোন সরকারি ফি লাগেনা।,17,1,1
137,foreign_resident_card_registration_query_country_limitation_followup_a,"ভোটার নিবন্ধন করে ফেলেছি, এবার পরবর্তী পদক্ষেপ কী?",নিবন্ধন পরবর্তী ধাপে বাংলাদেশ দূতাবাস/এম্বাসী অফিসে যোগাযোগ করতে হবে।,20,1,1
138,foreign_resident_card_registration_query_country_limitation_followup_d,প্রথমবার ভোটার নিবন্ধনের জন্য ফি প্রযোজ্য কি? প্রযোজ্য হলে কত এবং কোন মাধ্যমে দিতে হয়?,নতুুন ভোটার নিবন্ধনের কোন সরকারি ফি লাগেনা।,18,1,1
139,foreign_resident_card_registration_rejected_followup_a,বিদেশপ্রবাসীদের ভোটার নিবন্ধন/এনআইডি করতে কোথায় যেতে হয়? সংশ্লিষ্ট অফিসের লোকেশন ও সময় কী?,"সংশ্লিষ্ট দূতাবাস অথবা এনআইডি উইং, নিবন্ধন ও প্রবাসী অধিশাখায় যোগাযোগ করুন।অফিসের ঠিকানা জানতে অনুগ্রহ পূর্বক গুগল ম্যাপের সহযোগিতা নিবেন। সকাল ৯.০০ ঘটিকা থেকে বিকাল ৫.০০ ঘটিকা পর্যন্ত সাধারনত অফিস খোলা থাকে (সরকারী ছুটি ব্যতীত)।",20,1,1
140,foreign_resident_card_registration_required_documents,বিদেশে ভোটার রেজিস্ট্রেশনের সময় কী কী ডকুমেন্টস জমা দিতে হয়?,"দূতাবাসে ভোটার নিবন্ধন করতে হলে পূরণকৃত ফরম (২ক) এর প্রিন্ট কপি, অনলাইন জন্ম সনদ, পাসপোর্ট এবং পাসপোর্ট সাইজের ছবি প্রয়োজন।",173,1,1
141,foreign_resident_card_registration_required_documents_2_followup_b,"বিদেশি প্রবাসী ভোটার রেজিস্ট্রেশনে যদি কোনো দরকারি কাগজ না থাকে, তার বদলে কী দেখাতে হবে?",কোন কাগজ না থাকলে রেজিস্ট্রেশন অফিসারের পরামর্শ অনুযায়ী পদক্ষেপ নিতে হবে।,20,1,1
142,foreign_resident_card_registration_required_documents_2_followup_c,প্রবাসী এনআইডি/ভোটার নিবন্ধনের অনলাইন আবেদনের প্রগতি দেখার লিংকটা কোথায়?,অনলাইন আবেদন করার পরে স্ট্যাটাস জানতে সংশ্লিষ্ট দূতাবাস/এম্বাসী অফিসে যোগাযোগ করুন।,20,1,1
143,foreign_resident_card_registration_required_documents_followup_a,"দূতাবাসে ভোটার হওয়ার আবেদনে কি আসল দলিল দেখাতে হয়, নাকি ফটোকপি জমা দিলেই হবে?",এই কাগজগুলোর মুলকপি প্রদর্শন করতে হবে এবং ফটোকপি জমা দিতে হবে।,20,1,1
144,foreign_resident_card_registration_required_documents_followup_d,প্রবাসী এনআইডি/ভোটার রেজিস্ট্রেশনের অনলাইন আবেদন পূরণের সময়ে ভুল হলে কীভাবে সংশোধন করব?,ফরম পূরণের সময় ভূল হলে তা মুছে দিয়ে পুনরায় পূরণ করতে হবে।,20,1,1
145,foreign_resident_multiple_registration_new,"বাংলাদেশে আমার স্মার্ট কার্ড আছে, প্রবাসী অবস্থায় কি নতুন ভোটার রেজিস্ট্রেশন করতে হবে?","আপনি বাংলাদেশে ছবিযুক্ত ভোটার তালিকায় অন্তর্ভূক্ত হয়ে থাকলে প্রবাসে নিবন্ধনের প্রয়োজন নেই।
মনে রাখবেন, একাধিকবার নিবন্ধন করা আইনত দণ্ডনীয় অপরাধ।",183,1,1
146,foreign_resident_multiple_registration_new_followup_a,প্রবাসী এনআইডি বা ভোটার নিবন্ধনে ভুল ধরা পড়লে আইনি বিড়ম্বনা এড়াতে তাৎক্ষণিকভাবে কী করব?,এই ধরনের ভুল এড়াতে আপনার ভোটার এলাকার সংশ্লিষ্ট উপজেলা বা থানা নির্বাচন অফিসে যোগাযোগ করুন,20,1,1
147,foreign_resident_multiple_registration_new_followup_b,দেশে ভোটার হিসেবে নিবন্ধিত; প্রবাসে থেকে কি আবার ভোটার হওয়া প্রয়োজন? শুরুটা কোথা থেকে?,এই সমস্যার সমাধানে আপনার উপজেলা বা থানা নির্বাচন অফিসে যোগাযোগ করতে হবে।,20,1,1
148,foreign_resident_multiple_registration_new_followup_c,প্রবাসে ভোটার/এনআইডি রেজিস্ট্রেশন করার পর পরের ধাপ কী কী?,নিবন্ধনের পরে পরবর্তী ধাপে দেশে বসবাসরত ঠিকানার উপজেলা বা থানা নির্বাচন অফিসে প্রয়োজনীয় কাগজপত্র জমা দিতে হবে তদন্ত প্রেরণের জন্য।,20,1,1
149,foreign_resident_multiple_registration_new_followup_d,"প্রবাসী এনআইডি ও ভোটার নিবন্ধন কি অনলাইনে করা যাবে, না কি অফিসে গিয়ে করতে হবে?",এই কাজটির জন্য সরাসরি অফিসে যোগাযোগ করতে হবে।,20,1,1
150,foreign_resident_nid_adjudication_pending,"কনস্যুলেট থেকে করা NID আবেদন Adjudication Pending কেন এতদিন ধরে আছে, কী করণীয়?","আপনার বায়োমেট্রিকস যাচাইয়ের কার্যক্রম চলমান আছে। অনুগ্রহপূর্বক অপেক্ষা করুন। 
দীর্ঘদিন যাবত আবেদন পেন্ডিং থাকলে অনুগ্রহপূর্বক আপনার কোনো নিকটাত্মীয়ের মাধ্যমে বাংলাদেশে অবস্থিত উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করতে পারেন।",177,1,1
151,foreign_resident_nid_adjudication_pending_followup_a,"বিদেশে থাকা নাগরিকদের এনআইডি/ভোটার নিবন্ধনের জন্য যে কার্যালয় আছে, সেটি কোথায় অবস্থিত এবং কখন খোলা থাকে?",এই কাাজের জন্য আপনার বাংলাদেশে অবস্থিত ভোটার এলাকা সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করুন।,20,1,1
152,foreign_resident_nid_adjudication_pending_followup_d,বিদেশস্থ নাগরিকের এনআইডি/ভোটার রেজিস্ট্রেশন কতদিন স্থগিত অবস্থায় থাকলে নেক্সট স্টেপ নিতে হবে?,৩০ কার্য দিবসের বেশি পেন্ডিং থাকলে পরবর্তী পদক্ষেপ নিতে হবে।,20,1,1
153,foreign_resident_passport_expaired_card_registration_process_followup_a,"বিদেশে থাকা অবস্থায় ভোটার নিবন্ধনের জন্য প্রয়োজনীয় নথির মূল কপি লাগে, না ফটোকপি চলবে?",এই কাগজগুলোর মূল কপি প্রদর্শনপূর্বক ফটোকপি জমা দিতে হবে,20,1,1
154,foreign_resident_passport_expaired_card_registration_process_followup_d,পাসপোর্ট নবীকরণ শেষে কি তখনই আবেদন দেওয়া সম্ভব?,পাসপোর্ট নবায়ন হলে অনলাইনে রেজিস্ট্রেশন করে এম্বাসি অফিসে যোগাযোগ করুন,20,1,1
155,forgot_password_flow,Postal Vote BD প্রোফাইল পাসওয়ার্ড রিসেট করার উপায়টা কী?,"লগইন পেজে "" পাসওয়ার্ড ভুলে গেছেন? রিসেট পাসওয়ার্ড "" লিখাটিতে ক্লিক করুন প্রয়োজনীয় নির্দেশনা পালন করুন।",97,1,1
156,greetings,কি খবর?,অনুগ্রহপূবর্ক কি তথ্য দিয়ে সাহায্য করতে পারি?,48,1,1
157,help_center_access,পোস্টাল ভোট বিডি অ্যাপের সাহায্য পেজ ওপেন করব কীভাবে?,সহায়তা কেন্দ্র দুইভাবে অ্যাক্সেস করা যাবে: ১। হোম স্ক্রিন থেকে: উপরের ডান পাশে (?) আইকনে ক্লিক করে। ২। প্রোফাইল পেজ থেকে: প্রোফাইল পেজের বাম পাশে (?) আইকনে ক্লিক করে।,99,1,1
158,help_service_key_points,পোস্টাল ভোট বিডি কী কী সুবিধা নিশ্চিত করে ব্যবহারকারীদের জন্য?,"পোস্টাল ভোট বিডি অ্যাপের সেবা গুলো হলো- (১) ইহা বিনা মুল্যে পাওয়া যায়, (২) প্রতিটি দেশে ২৪/৭ সহায়তা পাওয়া যায়, (৩) আপনার তথ্য গোপন থাকবে।",98,1,1
159,home_screen_usage,পোস্টাল ভোট বিডি অ্যাপের ড্যাশবোর্ডে পৌঁছে কোন সুবিধাগুলো পাওয়া যায়?,"হোম স্ক্রিনে সফলভাবে পৌঁছানোর পরে, আপনি অ্যাপের সকল সুবিধা ব্যবহার করতে পারবেন।",99,1,1
160,how_many_wife_name_can_be_added_in_nid_card_followup_d,NID আপডেট/সংশোধন নিয়ে নির্ভুল তথ্য জানতে কোন কার্যালয়ে যাওয়া উচিত?,এ বিষয়ে তথ্য পেতে সংশ্লিষ্ট নির্বাচন অফিসে যোগাযোগ করুন অথবা ১০৫ এ কল করুন।,20,1,1
161,how_to_apply_for_correction_in_online_portal_followup_b,এনআইডি অনলাইন পোর্টালের ফর্ম পূরণের সময় মিসটেক হলে কী করণীয়?,ফর্ম পূরণের সময় ভূল হলে পূরণকৃত ফরম মুছে দিয়ে পুনরায় তথ্য প্রদান করুন।,19,1,1
162,how_to_complain_not_getting_help_from_election_office,জেলা দপ্তরে সেবা না পেয়ে অভিযোগের কর্তৃপক্ষ কে?,"আপনি যদি কোনো থানা/উপজেলা নির্বাচন অফিসের বিরুদ্ধে অভিযোগ দাখিল করতে চান সেক্ষেত্রে, সংশ্লিষ্ট “জেলা নির্বাচন আফিসার” বরাবর লিখিত অভিযোগ করতে পারেন। 
 আপনি যদি কোনো জেলা নির্বাচন অফিসের বিরুদ্ধে অভিযোগ দাখিল করতে চান সেক্ষেত্রে, সংশ্লিষ্ট “আঞ্চলিক নির্বাচন আফিসার” বরাবর লিখিত অভিযোগ করতে পারেন। 
 আপনি যদি কোনো আঞ্চলিক নির্বাচন অফিসের বিরুদ্ধে অভিযোগ দাখিল করতে চান সেক্ষেত্রে, “মহাপরিচালক, জাতীয় পরিচয় নিবন্ধন অনুবিভাগ” বরাবর লিখিত অভিযোগ করতে পারেন।",171,1,1
163,husband_talak_name_remove_followup_b,এনআইডি তথ্য ঠিকঠাক করার জন্য দরকারি কোনো দলিলপত্র না থাকলে কী ধরনের বিকল্প গ্রহণ করা হয়?,তালাকনামা বা বিবাহ বিচ্ছেদের কাগজ অবশ্যই প্রয়োজন।,20,1,1
164,husband_talak_name_remove_followup_c,স্বামী-স্ত্রীর তালাকের পর স্বামীর নাম সরাতে কাজটা কোথা থেকে শুরু করব?,সমস্যা সমাধানের প্রথম ধাপ অনলাইনে সংশোধনের আবেদন করা।,15,1,1
165,information_correct_but_account_locked_followup_a,তথ্য ভুল না দিয়েও অ্যাকাউন্ট লক হয়ে যাওয়ার সম্ভাব্য কারণসমূহ কী?,ভুল তথ্য না দিলে একাউন্ট কখনোই লক হবে না।,13,1,1
166,information_correct_but_account_locked_followup_b,"এটি কি ব্রাউজার, ডিভাইস অথবা এক্সপায়ার্ড সেশনের কারণে হচ্ছে?",শুধুমাত্র ভুল তথ্য ইনপুট করলেই এই সমস্যা হয়।,20,1,1
167,information_correct_but_account_locked_followup_c,এনআইডি একাউন্ট লক হয়ে গেলে সাধারণত কখন অটোমেটিকালি খুলে যায়?,এই ধরনের লক সাধারণত আট ঘন্টা পরে খুলে যায়।,20,1,1
168,information_correct_but_account_locked_followup_d,এনআইডি অনলাইন একাউন্ট লক সমস্যা দ্রুত মেটাতে কোন জেলা/উপজেলা নির্বাচন অফিস বা হটলাইনে যোগাযোগ করা যাবে?,প্রয়োজনে দ্রুত এই লকটি আনলক করা সম্ভব নয়।,20,1,1
169,instant_card_correction_fee_followup_a,"এনআইডি তথ্য সংশোধনের ফি পরিশোধের সেরা উপায় কী, যাতে আপডেট দ্রুত কার্যকর হয়?",দ্রুত এনআইডি কার্ড সংশোধনের জন্য কোন ফি নেই।,18,1,1
170,instant_card_correction_fee_followup_b,NID correction ফি দেওয়ার পর ট্রানজেকশনটি ঠিকমতো হয়েছে কিনা কেমন করে নিশ্চিত হব?,দ্রুত সংশোধনী আপডেট এর জন্য কোন ফি জমা দেওয়ার নিয়ম নেই।,20,1,1
171,instant_card_correction_fee_followup_d,সংশোধন পাস হলে হালনাগাদ এনআইডি কীভাবে উঠাব?,সংশোধনের আবেদন অনুমোদন হলে অনলাইন থেকে সংশোধিত কার্ড ডাউনলোড করে নিতে পারবেন।,18,1,1
172,instruction_following_tips,পোস্টাল ভোট বিডি অ্যাপের গাইডলাইন ফলো করার সময় কোন বিষয়গুলো প্রাধান্য পাবে?,"ধীরে ধীরে এবং স্বাভাবিকভাবে নির্দেশনা অনুসরণ করুন, মোবাইল স্থির রাখুন, ফ্রেমের মধ্যে মুখ রাখুন, পর্যাপ্ত আলোকিত স্থানে থাকুন।",101,1,1
173,liveness_check_avoid,লাইভনেস ভিডিও রেকর্ডের সময় কী কী বাদ দিতে হবে?,"চশমা পরবেন না, মাস্ক বা মুখ ঢাকবেন না, টুপি বা মাথা ঢাকবেন না, খুব দ্রুত নড়াচড়া করবেন না।",101,1,1
174,liveness_check_purpose,পোস্টাল ব্যালট আবেদনকালে লাইভনেস ভেরিফাই করতে বলা হয় কেন?,"লাইভনেস চেকআপ নিশ্চিত করে যে আপনি একজন জীবিত মানুষ, কোনো ছবি বা ভিডিও নয়। এটি নিরাপত্তার জন্য অত্যন্ত গুরুত্বপূর্ণ।",101,1,1
175,login_after_registration,আমি কি রেজিস্টার্ড ফোন নম্বর আর নতুন পাসওয়ার্ড দিয়ে প্রবেশ করব?,আপনার মোবাইল নম্বর এবং পাসওয়ার্ড দিয়ে লগইন করুন।,100,1,1
176,login_page_not_opening,"পোস্টাল ভোট অ্যাপে সাইন ইন করতে গেলে পেজ আসে না, কেন?",ইন্টারনেট সংযোগ চেক করুন এবং অ্যাপ আবার খুলুন।,98,1,1
177,login_safety_precautions,পোস্টাল ভোটিং অ্যাপে সাইন ইন করার ক্ষেত্রে কী কী প্রয়োজনীয়তা রয়েছে?,নিশ্চিত করুন যে সঠিক মোবাইল নম্বর এবং পাসওয়ার্ড ব্যবহার করছেন এবং পাসওয়ার্ড কারও সাথে শেয়ার করবেন না।,98,1,1
178,login_using_old_id_password_followup_a,পুরোনো ক্রেডেনশিয়াল (ইউজার আইডি-পাসওয়ার্ড) দিয়ে কি এখন লগইন সম্ভব?,services.nidw.gov.bd/ লিংকে প্রবেশ করে লগইন অপশনে আপনার পূর্বে রেজিস্ট্রিকৃত ইউজার আইডি/ এনআইডি নম্বর এবং পাসওয়ার্ড দিয়ে লগইন করতে পারবেন।,14,1,1
179,login_using_old_id_password_followup_c,নিবন্ধিত ফোন নম্বর পরিবর্তিত হলে একাউন্টে ঢোকার উপায় কী?,"""পাসওয়ার্ড ভুলে গেলে"" বাটনে ক্লিক করে পরবর্তী নির্দেশনা অনুসরণ করে আপনার ফেস ভেরিফিকেশনের মাধ্যমে একাউন্ট পুনরুদ্ধার করতে পারবেন।",20,1,1
180,login_using_old_id_password_followup_d,জাতীয় পরিচয়পত্র অনলাইন পোর্টালে লগইন করতে না পারলে সহায়তার জন্য কার কাছে যোগাযোগ করা উচিত?,বাংলাদেশ নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন।,20,1,1
181,logout_available,পোস্টাল ভোট অ্যাপের লগ আউট সেটিংস কোথায় আছে?,প্রোফাইল স্ক্রিনে লগ আউট অপশন রয়েছে। সেখানে ক্লিক করে আপনি সহজেই লগ আউট করতে পারবেন।,98,1,1
182,logout_steps,পোস্টাল ভোটবিডি অ্যাপে লগআউট অপশনটা কোন পেজে থাকে?,"আপনি প্রোফাইল পেজে যান এবং সেখানে সবুজ রঙের ""লগআউট"" বাটনে ক্লিক করুন।",98,1,1
183,mobile_number_entry,দেশ নির্বাচন-পরবর্তী মোবাইল নম্বর এন্ট্রি কীভাবে করব?,"দেশ নির্বাচনের পর ""মোবাইল নম্বর"" পেজে আপনার নম্বর লিখুন। আপনি যে দেশে আছেন সেই দেশের মোবাইল নম্বর দিতে পারবেন।",101,1,1
184,multiple_marks_invalid_vote,"Postal ballot-এ কি কেবল একটি ঘরে মার্ক করতে হয়, নাহলে বাতিল?",শুধুমাত্র একটি ঘরে চিহ্ন দিতে হবে। একাধিক ঘরে চিহ্ন দিলে আপনার ভোট বাতিল হয়ে যাবে।,101,1,1
185,name_correction_in_nid_card_followup_a,"জাতীয় পরিচয়পত্রে নিজের নামের ভুল ঠিক করতে কি মূল কাগজ লাগবে, নাকি ফটোকপি দিলেই চলবে?",আবেদনের সময় প্রয়োজনীয় কাগজপত্র স্ক্যান করে সাবমিট করতে হয়। মূলকপি হলে ভালো কিন্তু ফটোকপি হলেও সমস্যা নেই।,20,1,1
186,name_correction_in_nid_card_followup_b,NID কার্ডে নিজের নাম ঠিক করতে দরকারি সাপোর্টিং ডকুমেন্ট না পেলে কোন বিকল্প দলিল গ্রহণ করা হয়?,আবেদনের স্বপক্ষে যথাযথ ডকুমেন্ট সাবমিট করা আবশ্যক। বািস্তারিত জানতে বাংলাদেশ নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন।,20,1,1
187,name_correction_in_nid_card_followup_c,এনআইডি তথ্য সংশোধনের অনলাইন আবেদন করার পর স্ট্যাটাস কোথায় দেখতে পারি?,বাংলাদেশ নির্বাচন কমিশনের ওয়েবসাইট থেকে দেখে নিতে পারবেন এবং বািস্তারিত জানতে বাংলাদেশ নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন,19,1,1
188,name_correction_in_nid_card_followup_d,NID correction online form fill-up করতে গিয়ে ভুল হলে কীভাবে রিভাইজ করব?,সংশোধণ আবেদন ভূলভাবে সাবমিট হলে ঠিক করার সুযোগ নেই। সেক্ষেত্রে আবেদনটি বাতিল করে পূনরায় আবেদন করতে হবে। অনলাইন আবেদনটি বাতিল করার জন্য মহাপরিচালক বরাবর বাতিলের আবেদনপত্র সংশ্লিষ্ট থানা/উপজেলা নির্বাচন অফিসে জমা করতে পারেন।,19,1,1
189,necessary_documents_to_modify_voter_area_followup_a,"ভোটার ঠিকানা স্থানান্তরের আবেদনে কি কাগজপত্রের মূল লাগে, নাকি ফটোকপি গ্রহণযোগ্য?",এই কাগজগুলোর ফটোকপি জমা দিতে হবে।,20,1,1
190,necessary_documents_to_modify_voter_area_followup_b,ভোটার এলাকা পরিবর্তনের আবেদনে কোনো নির্ধারিত কাগজ না থাকলে বদলি হিসেবে কী দেওয়া যেতে পারে?,কোন কাগজ না থাকলে উপজেলা/থানা নির্বাচন অফিসারের পরামর্শ অনুযায়ী বিকল্প ব্যবস্থা নিতে হবে,20,1,1
191,necessary_documents_to_modify_voter_area_followup_c,"ভোটার কার্ডের ঠিকানা আপডেট বা এলাকা স্থানান্তর কি ঘরে বসে অনলাইনে করা যাবে, নাকি শারীরিকভাবে অফিসে যেতে হবে?",এক্ষেত্রে আপনি যে এলাকায় স্থানান্তর হতে চান সেই উপজেলা/থানা নির্বাচন অফিসে স্বশরীরে আবেদন জমা দিতে হবে।অফিসের ঠিকানা জানতে অনুগ্রহ পূর্বক গুগল ম্যাপের সহযোগিতা নিবেন। সকাল ৯.০০ ঘটিকা থেকে বিকাল ৫.০০ ঘটিকা পর্যন্ত সাধারনত অফিস খোলা থাকে (সরকারী ছুটি ব্যতীত)।,20,1,1
192,necessary_documents_to_modify_voter_area_followup_d,ভোটার এলাকার ঠিকানা সংশোধন/এলাকা মাইগ্রেশন আবেদন কত সময়ে নিষ্পত্তি হয়?,ভোটার এলাকার ঠিকানা পরিবর্তনের আবেদন সম্পন্ন হতে গড়ে ৩০ (ত্রিশ) কার্য দিবস সময় লাগতে পারে,20,1,1
193,new_card_got_old_card_found_what_to_do,বদলি এনআইডি পাওয়া গেছে; আগেরটা পাওয়া গেলে কী করতে হবে?,"আপনি কার্ডটি সতর্কতার সাথে সংরক্ষণ করুন, যাতে কার্ডটির অপব্যবহার না হয়।",170,1,1
194,new_card_got_old_card_found_what_to_do_followup_a,"হারানো পরিচয়পত্রের বদলি তুলে নেয়ার পর পুরোনো কার্ড যদি পাওয়া যায়, সেটি কি কার্যকর গণ্য হবে?",হারানো কার্ড উত্তোলনের পর পুরোনো কার্ড পাওয়া গেলে সেটি ব্যবহার করা যাবে।,20,1,1
195,new_card_got_old_card_found_what_to_do_followup_b,জাতীয় পরিচয়পত্র পুনঃইস্যুর পর কোনটি প্রযোজ্য বলে ধরা হবে—নতুন কার্ড নাকি পুরানো কার্ড?,এক্ষেত্রে আপনার দুটি কার্ড ই বৈধ ভাবে ব্যবহার করা যাবে।,20,1,1
196,new_nid_card_age,১৮ পার না করলে কি ভোট দিতে পারবেন?,ভোটার হওয়ার জন্য বয়স ১৮ বছর বা তদুর্দ্ধ হতে হয়।,174,1,1
